symbol,timestamp,occurrences,price_shift,min_price,max_price
BAJFINANCE,2025-07-12 09:15:00.080000+00:00,1.0,0.0,1673.19,1673.19
BAJFINANCE,2025-07-12 09:15:00.290000+00:00,1.0,0.0,1219.3,1219.3
BAJFINANCE,2025-07-12 09:15:00.470000+00:00,1.0,0.0,2459.86,2459.86
BAJFINANCE,2025-07-12 09:15:00.680000+00:00,1.0,0.0,1910.02,1910.02
BAJFINANCE,2025-07-12 09:15:00.855000+00:00,1.0,0.0,2307.95,2307.95
BAJFINANCE,2025-07-12 09:15:01.080000+00:00,1.0,0.0,2742.65,2742.65
BAJFINANCE,2025-07-12 09:15:01.300000+00:00,1.0,0.0,2904.0,2904.0
BAJFINANCE,2025-07-12 09:15:01.445000+00:00,1.0,0.0,2042.6,2042.6
BAJFINANCE,2025-07-12 09:15:01.640000+00:00,1.0,0.0,1163.81,1163.81
BAJFINANCE,2025-07-12 09:15:01.850000+00:00,1.0,0.0,2869.24,2869.24
BAJFINANCE,2025-07-12 09:15:02.085000+00:00,1.0,0.0,1130.69,1130.69
BAJFINANCE,2025-07-12 09:15:02.255000+00:00,1.0,0.0,2138.41,2138.41
BAJFINANCE,2025-07-12 09:15:02.485000+00:00,1.0,0.0,2825.86,2825.86
BAJFINANCE,2025-07-12 09:15:02.610000+00:00,1.0,0.0,1821.55,1821.55
BAJFINANCE,2025-07-12 09:15:02.895000+00:00,1.0,0.0,2371.6,2371.6
BAJFINANCE,2025-07-12 09:15:03.075000+00:00,1.0,0.0,2277.1,2277.1
BAJFINANCE,2025-07-12 09:15:03.290000+00:00,1.0,0.0,1348.99,1348.99
BAJFINANCE,2025-07-12 09:15:03.495000+00:00,1.0,0.0,1170.73,1170.73
BAJFINANCE,2025-07-12 09:15:03.680000+00:00,1.0,0.0,2235.68,2235.68
BAJFINANCE,2025-07-12 09:15:03.885000+00:00,1.0,0.0,1698.75,1698.75
BAJFINANCE,2025-07-12 09:15:04.040000+00:00,1.0,0.0,2798.25,2798.25
BAJFINANCE,2025-07-12 09:15:04.285000+00:00,1.0,0.0,2497.07,2497.07
BAJFINANCE,2025-07-12 09:15:04.500000+00:00,1.0,0.0,2810.29,2810.29
BAJFINANCE,2025-07-12 09:15:04.690000+00:00,1.0,0.0,1736.04,1736.04
BAJFINANCE,2025-07-12 09:15:04.850000+00:00,1.0,0.0,1153.77,1153.77
BAJFINANCE,2025-07-12 09:15:05.095000+00:00,1.0,0.0,1157.72,1157.72
BAJFINANCE,2025-07-12 09:15:05.280000+00:00,1.0,0.0,1654.87,1654.87
BAJFINANCE,2025-07-12 09:15:05.480000+00:00,1.0,0.0,2019.43,2019.43
BAJFINANCE,2025-07-12 09:15:05.690000+00:00,1.0,0.0,2443.33,2443.33
BAJFINANCE,2025-07-12 09:15:05.865000+00:00,1.0,0.0,2852.08,2852.08
BAJFINANCE,2025-07-12 09:15:06.100000+00:00,1.0,0.0,2095.3,2095.3
BAJFINANCE,2025-07-12 09:15:06.270000+00:00,1.0,0.0,1045.47,1045.47
BAJFINANCE,2025-07-12 09:15:06.450000+00:00,1.0,0.0,2075.86,2075.86
BAJFINANCE,2025-07-12 09:15:06.680000+00:00,1.0,0.0,1977.24,1977.24
BAJFINANCE,2025-07-12 09:15:06.850000+00:00,1.0,0.0,2695.73,2695.73
BAJFINANCE,2025-07-12 09:15:07.025000+00:00,1.0,0.0,1652.75,1652.75
BAJFINANCE,2025-07-12 09:15:07.285000+00:00,1.0,0.0,2571.73,2571.73
BAJFINANCE,2025-07-12 09:15:07.465000+00:00,1.0,0.0,2359.11,2359.11
BAJFINANCE,2025-07-12 09:15:07.660000+00:00,1.0,0.0,1915.72,1915.72
BAJFINANCE,2025-07-12 09:15:07.835000+00:00,1.0,0.0,1083.22,1083.22
BAJFINANCE,2025-07-12 09:15:08.095000+00:00,1.0,0.0,1970.68,1970.68
BAJFINANCE,2025-07-12 09:15:08.260000+00:00,1.0,0.0,1266.29,1266.29
BAJFINANCE,2025-07-12 09:15:08.490000+00:00,1.0,0.0,1310.75,1310.75
BAJFINANCE,2025-07-12 09:15:08.680000+00:00,1.0,0.0,2827.9,2827.9
BAJFINANCE,2025-07-12 09:15:08.805000+00:00,1.0,0.0,2386.92,2386.92
BAJFINANCE,2025-07-12 09:15:09.095000+00:00,1.0,0.0,2658.71,2658.71
BAJFINANCE,2025-07-12 09:15:09.280000+00:00,1.0,0.0,2983.08,2983.08
BAJFINANCE,2025-07-12 09:15:09.480000+00:00,1.0,0.0,2930.37,2930.37
BAJFINANCE,2025-07-12 09:15:09.695000+00:00,1.0,0.0,1981.9,1981.9
BAJFINANCE,2025-07-12 09:15:09.895000+00:00,1.0,0.0,2190.1,2190.1
BAJFINANCE,2025-07-12 09:15:10.090000+00:00,1.0,0.0,1747.82,1747.82
BAJFINANCE,2025-07-12 09:15:10.260000+00:00,1.0,0.0,2886.01,2886.01
BAJFINANCE,2025-07-12 09:15:10.500000+00:00,1.0,0.0,1235.56,1235.56
BAJFINANCE,2025-07-12 09:15:10.640000+00:00,1.0,0.0,2666.46,2666.46
BAJFINANCE,2025-07-12 09:15:10.890000+00:00,1.0,0.0,2148.31,2148.31
BAJFINANCE,2025-07-12 09:15:11.095000+00:00,1.0,0.0,2487.25,2487.25
BAJFINANCE,2025-07-12 09:15:11.300000+00:00,1.0,0.0,2267.32,2267.32
BAJFINANCE,2025-07-12 09:15:11.490000+00:00,1.0,0.0,1627.82,1627.82
BAJFINANCE,2025-07-12 09:15:11.690000+00:00,1.0,0.0,1886.13,1886.13
BAJFINANCE,2025-07-12 09:15:11.855000+00:00,1.0,0.0,2504.27,2504.27
BAJFINANCE,2025-07-12 09:15:12.085000+00:00,1.0,0.0,2853.38,2853.38
BAJFINANCE,2025-07-12 09:15:12.210000+00:00,1.0,0.0,2502.08,2502.08
BAJFINANCE,2025-07-12 09:15:12.435000+00:00,1.0,0.0,2963.71,2963.71
BAJFINANCE,2025-07-12 09:15:12.685000+00:00,1.0,0.0,1566.91,1566.91
BAJFINANCE,2025-07-12 09:15:12.885000+00:00,1.0,0.0,1014.23,1014.23
BAJFINANCE,2025-07-12 09:15:13.065000+00:00,1.0,0.0,2640.46,2640.46
BAJFINANCE,2025-07-12 09:15:13.260000+00:00,1.0,0.0,1631.46,1631.46
